Date,pm10,CO,SO2,NO2
4/25/1994,23,1.008105016,5.408327295,19.73979467
4/26/1994,23.671875,0.858389422,3.793206167,16.07771194
4/27/1994,20,0.890202375,4.194773308,16.07402584
4/28/1994,22,0.730323766,3.601034167,11.793623
4/29/1994,19,0.760364563,3.801969787,15.02014837
4/30/1994,24,0.776557355,4.131335184,11.31001142
5/1/1994,25,0.610843274,3.644100829,6.904031556
5/2/1994,18.95454545,0.766852406,4.229783564,9.890944833
5/3/1994,32,0.855649469,4.632493833,13.56881594
5/4/1994,8,0.753292844,3.197974987,13.17810405
5/5/1994,12,0.867755254,3.634342628,12.32918217
5/6/1994,23,0.898971694,5.275434615,17.10661511
5/7/1994,28,0.775349403,3.552646705,14.36691737
5/8/1994,19.01639344,0.716343583,3.485843038,10.68407711
5/9/1994,19,0.776973226,4.71226159,15.313524
